Date,Amount,Description,Category
7/1/2025,10.50,CHIPOTLE 1233,Restaurants
7/1/2025,14.8,Aramark,Restaurants
7/1/2025,2.44,Aramark,Restaurants
7/12/2025,6.02,STARBUCKS,Restaurants
7/13/2025,42.63,AMMA?S KITCHEN,Restaurants
7/14/2025,2.44,Aramark,Restaurants
7/15/2025,6.02,STARBUCKS,Restaurants
7/15/2025,2.44,Aramark,Restaurants
7/16/2025,2.44,Aramark,Resturants
7/17/2025,60.13,SUMMIT THAI,Restaurants
7/17/2025,5.46,Last Licks,Restaurants
7/12/2025,29.72,EAST GATE VERONA NJ,Restaurants
7/12/2025,6.68,DAIRY QUEEN,Restaurants
7/12/2025,17.77,COZY TEA LOFT B,Restaurants
7/16/2025,2.44,Aramark,Restaurants
7/19/2025,21.01,CHIPOTLE 1233,Restaurants
7/2/2025,7.35,Aramark,Restaurants
7/2/2025,8.36,Aramark,Restaurants
7/2/2025,2.44,Aramark,Restaurants
7/2/2025,5.77,Aramark,Restaurants
7/2/2025,14.18,CHIPOTLE 1233,Restaurants
7/2/2025,9.47,WENDYS 6702,Restaurants
7/20/2025,46.63,AMMA?S KITCHEN,Restaurants
7/21/2025,7.02,STARBUCKS,Restaurants
7/10/2025,85.02,THAI NAM PHET,Restaurants
7/21/2025,2.44,Aramark,Restaurants
7/23/2025,2.24,Aramark,Restaurants
7/23/2025,2.44,Aramark,Restaurants
7/23/2025,88.47,CHARM THAI CUISINE,Restaurants
7/24/2025,24.68,CHIPOTLE 1233,Restaurants
7/26/2025,13.52,BURGER KING,Restaurants
7/28/2025,2.55,Aramark,Restaurants
7/4/2025,7.96,DUNKIN,Restaurants
7/18/2025,10.53,TROPICAL SMOOTHIE,Restaurants
7/24/2025,14.88,SUKHADIA PARISIPPANY,Restaurants
7/5/2025,3.33,BURGER KING #10618,Restaurants
7/5/2025,8.77,BURGER KING #10618,Restaurants
7/6/2025,11.70,LAST LICKS EAST,Restaurants
7/6/2025,11.73,GANESH'S DOSA,Restaurants
7/6/2025,5.33,GANESH'S DOSA,Restaurants
7/7/2025,3.12,Aramark,Restaurants
7/7/2025,3.72,Aramark,Restaurants
7/7/2025,5.94,Aramark,Restaurants
7/7/2025,2.44,Aramark,Restaurants
7/8/2025,5.53,Aramark,Restaurants
7/8/2025,2.24,Aramark,Restaurants
7/8/2025,8.19,DUNKIN#331892,Restaurants
7/8/2025,11.62,STARBUCKS STORE 56775,Restaurants
7/8/2025,14.18,CHIPOTLE 1233,Restaurants
7/9/2025,9.79,Aramark,Restaurants
7/9/2025,2.12,Aramark,Restaurants
7/7/2025,7.45,SMILEYS FRESH PROD,Restaurants
7/28/2025,14.18,CHIPOTLE 1233,Restaurants
7/28/2025,16.83,STARBUCKS,Restaurants
7/29/2025,2.44,Aramark,Restaurants
7/30/2025,21.33,GANESH'S DOSA HOUSE,Restaurants
7/31/2025,18.18,CHIPOTLE 1233,Restaurants
7/31/2025,11.73,A2B - PARSIPPANY,Restaurants
7/31/2025,18.22,Uber Eats,Restaurants
7/31/2025,36.47,Uber Eats,Restaurants
7/27/2025,86.55,CHEESECAKE,Restaurants
