Date,Amount,Description,Category
2025-07-01,10.5,CHIPOTLE 1233,restaurants
2025-07-01,14.8,Aramark,restaurants
2025-07-01,2.44,Aramark,restaurants
2025-07-02,9.47,WENDYS 6702,restaurants
2025-07-02,14.18,CHIPOTLE 1233,restaurants
2025-07-02,5.77,Aramark,restaurants
2025-07-02,2.44,Aramark,restaurants
2025-07-02,8.36,Aramark,restaurants
2025-07-02,7.35,Aramark,restaurants
2025-07-04,7.96,DUNKIN,restaurants
2025-07-05,3.33,BURGER KING 10618,restaurants
2025-07-05,8.77,BURGER KING 10618,restaurants
2025-07-06,11.7,LAST LICKS EAST,restaurants
2025-07-06,11.73,GANESH S DOSA,restaurants
2025-07-06,5.33,GANESH S DOSA,restaurants
2025-07-07,3.12,Aramark,restaurants
2025-07-07,3.72,Aramark,restaurants
2025-07-07,5.94,Aramark,restaurants
2025-07-07,2.44,Aramark,restaurants
2025-07-07,7.45,SMILEYS FRESH PROD,restaurants
2025-07-08,5.53,Aramark,restaurants
2025-07-08,2.24,Aramark,restaurants
2025-07-08,8.19,DUNKIN 331892,restaurants
2025-07-08,11.62,STARBUCKS STORE 56775,restaurants
2025-07-08,14.18,CHIPOTLE 1233,restaurants
2025-07-09,2.12,Aramark,restaurants
2025-07-09,9.79,Aramark,restaurants
2025-07-10,85.02,THAI NAM PHET,restaurants
2025-07-12,6.02,STARBUCKS,restaurants
2025-07-12,29.72,EAST GATE VERONA NJ,restaurants
2025-07-12,17.77,COZY TEA LOFT B,restaurants
2025-07-12,6.68,DAIRY QUEEN,restaurants
2025-07-13,42.63,AMMA S KITCHEN,restaurants
2025-07-14,2.44,Aramark,restaurants
2025-07-15,6.02,STARBUCKS,restaurants
2025-07-15,2.44,Aramark,restaurants
2025-07-16,2.44,Aramark,restaurants
2025-07-16,2.44,Aramark,restaurants
2025-07-17,5.46,Last Licks,restaurants
2025-07-17,60.13,SUMMIT THAI,restaurants
2025-07-18,10.53,TROPICAL SMOOTHIE,restaurants
2025-07-19,21.01,CHIPOTLE 1233,restaurants
2025-07-20,46.63,AMMA S KITCHEN,restaurants
2025-07-21,2.44,Aramark,restaurants
2025-07-21,7.02,STARBUCKS,restaurants
2025-07-23,2.24,Aramark,restaurants
2025-07-23,88.47,CHARM THAI CUISINE,restaurants
2025-07-23,2.44,Aramark,restaurants
2025-07-24,24.68,CHIPOTLE 1233,restaurants
2025-07-24,14.88,SUKHADIA PARISIPPANY,restaurants
2025-07-26,13.52,BURGER KING,restaurants
2025-07-27,86.55,CHEESECAKE,restaurants
2025-07-28,14.18,CHIPOTLE 1233,restaurants
2025-07-28,16.83,STARBUCKS,restaurants
2025-07-28,2.55,Aramark,restaurants
2025-07-29,2.44,Aramark,restaurants
2025-07-30,21.33,GANESH S DOSA HOUSE,restaurants
2025-07-31,36.47,Uber Eats,restaurants
2025-07-31,18.18,CHIPOTLE 1233,restaurants
2025-07-31,11.73,A2B PARSIPPANY,restaurants
2025-07-31,18.22,Uber Eats,restaurants
